comentario,comunidade_link,comunidade_texto,data_comentario,link_topico,nome_comentador,nome_topico,num_comentario
"Veja o vídeo, divulgue nossa comunidade DELENDA FORO DE SÃO PAULO !!! e, se vc gostar, ingresse e convide-os para ingressar nela. Envie aos amigos! Delenda Carthago (Cartago deve ser destruída). Catão dizia sempre isso, no fim de todos os seus discursos.Depois da queda do Muro de Berlim em 1989, Fidel Castro convocou em 1990, junto com Luis Inácio ""Lula"" da Silva e o PT, partidos estrangeiros, grupos guerrilheiros, organizações criminosas, ... daAmérica Latina, a uma reunião na cidade de São Paulo onde se associaram numa organização denominada Foro de São Paulo.O objetivo do Foro de São Paulo é o de apoiar política e financeiramente a implantação do comunismo na América Latina. Atualmente, é implantado por diversos modos, através de meios gramscistas, via partidos de esquerda, ""Círculos Bolivarianos"", para a concretização da URSAL (União das Repúblicas Socialistas da América Latina).Este espaço é para a formulação de idéias que levem à neutralização do totalitário FORO DE SÃO PAULO!Delenda Chaves, Fidel, Evo, Lula, FARC, MST, Comunistas, Esquerdopatas,...Delenda URSAL!Veja o vídeo http://www.youtube.com/watch?v=XKI6BRCSYEoEntre na nossa comunidade DELENDA FORO DE SÃO PAULO !!! :http://www.orkut.com/Community.aspx?cmm=42203706 Se v. colocar a expressão Foro de São Paulo no Google, achará uma infinidade de informações a respeito dessa organização semi-clandestina, mas muito real e perigosa para a democracia, pois juntam-se líderes e organizações de todos os tipos, inclusive muitas ilegais em seus países, secretas, criminosas, com traficantes, guerrilheiros, ... até petralhas brasileiros. Lulla foi seu primeiro presidente, em 1990. Atualmente MAG toptop é um dos representantes brasileiros mais ativos no Foro. Agora, para disfarçar seus planos totalitários se dizem “bolivarianos”, “novos socialistas” do século 21.",http://orkut.google.com/c43358562.html,ARTHUR PRESIDENTE 2010,23 de dezembro de 2007,http://orkut.google.com/c43358562-tc09e6c277c57a132.html,Chris Couto - ,FORO DE SÃO PAULO,1
"O Projeto Comunista para o Brasil e a América LatinaPor Taiguara Fernandes de SousaHá décadas os comunistas planejam a instauração de um regime ditatorial comunista no Brasil e em toda a América Latina. No dia 23 de maio de 2008, uma reunião em Brasília tornou realidade a UNASUL (União das Nações Sul-Americanas), através de um Tratado Constitutivo que crio uma personalidade política própria para o Bloco e, entre outras coisas, um Conselho Sul-Americano de Segurança.[o Blog da UNR lembra que conforme determinação do FORO de SÃO PAULO - FSP - que tem inclusive página oficial no site da presidência da República - a UNASUL é o embrião da URSAL = União das Repúblicas Socialistas Soviéticas, que seria a recriação da extinta União Soviética, desta vez na América Latina. O que está atrapalhando um pouco os planos do FSP é que os atuais manda chyva da Rússia - Putin e companhia - estão dispostos a recriar a URSS lá mesmo.Este Bloco – estipulado nos moldes da União Européia como união política e econômica, com moeda única e parlamento comum – é divulgado como a última salvação econômica da América do Sul, como se o simples ingresso no mesmo fosse tornar qualquer país sul-americano desenvolvido instantaneamente.E promessas como esta atraem mentes ingênuas... Unasul é apenas uma mal-disfarçada tentativa de implantar na América do Sul um regime ditatorial comunista, exatamente igual ao que foi feito na União das Repúblicas Socialistas Soviéticas, a extinta URSS. Diríamos que a Unasul é tão-somente a URSS trazida para a América.E quem deseje confirmar tal coisa, basta abrir os olhos e analisar as pistas que a própria Unasul nos dá... Não por coincidência, sua bandeira carrega as cores vermelho-sangue e amarelo... exatamente as mesmas da bandeira da URSS, ainda hoje utilizadas pelo Partido Comunista.A Sede da Unasul será em Quito, Equador... o Equador do socialista Rafael Correa. O Parlamento da Unasul será em Cochabamba, Bolívia... a Bolívia hoje dominada pelos comunistas de Evo Morales.",http://orkut.google.com/c121704.html,Anti-Comunismo/Socialismo,30 de agosto de 2009,http://orkut.google.com/c121704-t9ce2cdf04aacd1c2.html,íνѕσи мєиєzєѕ - ,Forca comunista,1
"viva Honduras!!! Que lição aos vermelhos!!!AHAHAHAHHAHAhParabéns direita! Enquanto vocês comemoram mais uma vitória na bala do canhão, nós comemoramos mais uma por AMPLA maioria dos votos!!!!!!!VIVA a URSAL!",http://orkut.google.com/c121704.html,Anti-Comunismo/Socialismo,30 de novembro de 2009,http://orkut.google.com/c121704-t38ce0d4655302af2.html,L C - ,Aha Uhu - o Uruguai é nosso!,3
"viva Honduras!!! Que lição aos vermelhos!!!AHAHAHAHHAHAhParabéns direita! Enquanto vocês comemoram mais uma vitória na bala do canhão, nós comemoramos mais uma por AMPLA maioria dos votos!!!!!!!VIVA a URSAL!",http://orkut.google.com/c121704.html,Anti-Comunismo/Socialismo,30 de novembro de 2009,http://orkut.google.com/c121704-t38ce0d4655302af2.html,L C - ,Aha Uhu - o Uruguai é nosso!,3
"Delenda Carthago (Cartago deve ser destruída). Catão dizia sempre isso, no fim de todos os seus discursos.Depois da queda do Muro de Berlim em 1989, Fidel Castro convocou em 1990, junto com Luis Inácio “Lula” da Silva e o PT, partidos estrangeiros, grupos guerrilheiros, organizações criminosas, ... da América Latina, a uma reunião na cidade de São Paulo onde se associaram numa organização denominada Foro de São Paulo.O objetivo do Foro de São Paulo é o de apoiar política e financeiramente a implantação do comunismo na América Latina. Atualmente, é implantado por diversos modos, através de meios gramscistas, via partidos de esquerda, “Círculos Bolivarianos”, para a concretização da URSAL (União das Repúblicas Socialistas da América Latina).Este espaço é para a formulação de idéias que levem à neutralização do totalitário FORO DE SÃO PAULO!Delenda Chaves, Fidel, Evo, Lula, FARC, MST, Comunistas, Esquerdopatas,...Delenda URSAL (atualmente batizada de UNASUL)!Convido p/ a Comu DELENDA FORO DE SÃO PAULO:http://www.orkut.com.br/Main#Community.aspx?cmm=42203706Esta Comu combate o comunismo bolivariano. Junte-se a nós.",http://orkut.google.com/c121704.html,Anti-Comunismo/Socialismo,30 de novembro de 2008,http://orkut.google.com/c121704-t13bc0281889fd090.html,Adonai Camargo - ,DELENDA FORO DE SÃO PAULO,1
"Delenda Carthago (Cartago deve ser destruída). Catão dizia sempre isso, no fim de todos os seus discursos.Depois da queda do Muro de Berlim em 1989, Fidel Castro convocou em 1990, junto com Luis Inácio “Lula” da Silva e o PT, partidos estrangeiros, grupos guerrilheiros, organizações criminosas, ... da América Latina, a uma reunião na cidade de São Paulo onde se associaram numa organização denominada Foro de São Paulo.O objetivo do Foro de São Paulo é o de apoiar política e financeiramente a implantação do comunismo na América Latina. Atualmente, é implantado por diversos modos, através de meios gramscistas, via partidos de esquerda, “Círculos Bolivarianos”, para a concretização da URSAL (União das Repúblicas Socialistas da América Latina).Este espaço é para a formulação de idéias que levem à neutralização do totalitário FORO DE SÃO PAULO!Delenda Chaves, Fidel, Evo, Lula, FARC, MST, Comunistas, Esquerdopatas,...Delenda URSAL (atualmente batizada de UNASUL)!Convido p/ a Comu DELENDA FORO DE SÃO PAULO:http://www.orkut.com.br/Main#Community.aspx?cmm=42203706Esta Comu combate o comunismo bolivariano. Junte-se a nós.",http://orkut.google.com/c121704.html,Anti-Comunismo/Socialismo,30 de novembro de 2008,http://orkut.google.com/c121704-t13bc0281889fd090.html,Adonai Camargo - ,DELENDA FORO DE SÃO PAULO,1
"obs1- Durante décadas as ENORMES reservas petrolíferas de Maracaibo foram patrimônio de imperialistas e coorporações ianques. obs2- Construir parcerias justas e soberanas entre os países latinos é imprescindível.obs3- Já somos um ""Bloco"", não muito coeso, mas com Unidade. Alguns ""malucos"" já nos consideram a URSAL: União das Repúblicas Socialistas da America Latina.O termo ""socialismo"" me incomoda bastante. Prefiro: União das Repúblicas Livres e Soberanas da América Latina.",http://orkut.google.com/c121704.html,Anti-Comunismo/Socialismo,2 de outubro de 2008,http://orkut.google.com/c121704-t1b9c9f65187c92f5.html,L C - ,Democracia de 2 partidos?,3
"É realmente alarmante o entorpecimento da nação devido ao silêncio feito pela mídia comprada pelo sapo comuna tabarél,o chefe da quadrilha.Nada é dito ou comentado,td é escondido ou pior,tratado com a maior naturalidade possível.O combate a Lula é zero;ele é o""rei"",intocável,q td faz e td pode,quase uma figura stalinista,isto é,acima do bem e do mal,uma figura quase""divina""(Stalin era visto na Rússia como um semi-Deus a ponto dos prisioneiros dos campos de concentração comunistas,os Gulaks,chorassem a sua morte).Enquanto a nação segue para o abismo do comunismo,chamado por Chavez de""O Socialismo do Séc.XXI""e pelo PT de""O Socialismo do PT""a nação vive um clima de normalidade nada normal.Ventos da anormalidade dominam a nação calamitósa;direitos são destruídos(como o de propriedade) com a conivência do MP,de governadores inescrupulósos,como o crápula do Paraná,um bandido a frente de um estado,e da própria quadrilha comunista q é o governo Lula,o governo do crime organizado.Assasínos miseráveis!Comunistas e caudilhos malditos!Matam inocêntes no caos aéreo gerado pela sanha por dinheiro público dessa quadrilha imunda,visando seu malígno plano de poder,fundado no Foro de São Paulo para a criação da Ursal.A certeza da invencibilidade é tanta q o próprio PT admite isso e nada é dito,td é natural,qualquer discurso contra é paranóia,até q a""paranóia""se torne real.Lula esta blindado,seja pelo poder Judiciário,seja pelo Congrésso Mensalão ou pelo Senado chiqueiro ou por uma oposição,na sua maioria,fulêira e teatral(no mal sentido da palavra),e os ratos de redação nada falam,é normal uma Justiça blindar alguém.Q a revolta tome os quartéis,q o pavio seja aceso...",http://orkut.google.com/c121704.html,Anti-Comunismo/Socialismo,27 de janeiro de 2008,http://orkut.google.com/c121704-t1d50807570dd3e77.html,Caio Maurano - ,100 % auto-censura!!!,1
"É realmente alarmante o entorpecimento da nação devido ao silêncio feito pela mídia comprada pelo sapo comuna tabarél,o chefe da quadrilha.Nada é dito ou comentado,td é escondido ou pior,tratado com a maior naturalidade possível.O combate a Lula é zero;ele é o""rei"",intocável,q td faz e td pode,quase uma figura stalinista,isto é,acima do bem e do mal,uma figura quase""divina""(Stalin era visto na Rússia como um semi-Deus a ponto dos prisioneiros dos campos de concentração comunistas,os Gulaks,chorassem a sua morte).Enquanto a nação segue para o abismo do comunismo,chamado por Chavez de""O Socialismo do Séc.XXI""e pelo PT de""O Socialismo do PT""a nação vive um clima de normalidade nada normal.Ventos da anormalidade dominam a nação calamitósa;direitos são destruídos(como o de propriedade) com a conivência do MP,de governadores inescrupulósos,como o crápula do Paraná,um bandido a frente de um estado,e da própria quadrilha comunista q é o governo Lula,o governo do crime organizado.Assasínos miseráveis!Comunistas e caudilhos malditos!Matam inocêntes no caos aéreo gerado pela sanha por dinheiro público dessa quadrilha imunda,visando seu malígno plano de poder,fundado no Foro de São Paulo para a criação da Ursal.A certeza da invencibilidade é tanta q o próprio PT admite isso e nada é dito,td é natural,qualquer discurso contra é paranóia,até q a""paranóia""se torne real.Lula esta blindado,seja pelo poder Judiciário,seja pelo Congrésso Mensalão ou pelo Senado chiqueiro ou por uma oposição,na sua maioria,fulêira e teatral(no mal sentido da palavra),e os ratos de redação nada falam,é normal uma Justiça blindar alguém.Q a revolta tome os quartéis,q o pavio seja aceso...",http://orkut.google.com/c121704.html,Anti-Comunismo/Socialismo,27 de janeiro de 2008,http://orkut.google.com/c121704-t1d50807570dd3e77.html,Caio Maurano - ,100 % auto-censura!!!,1
"Ensino de espanhol pode ser obrigatório na rede públicaTramita na Câmara o Projeto de Lei 667/07, do deputado Manoel Júnior (PSB-PB), que torna obrigatório o ensino de espanhol em escolas públicas de ensino fundamental e médio. No entanto, de acordo com a proposta, apenas os alunos do ensino médio serão obrigados a freqüentar essas aulas.A Lei 11.161/05 já determina a implantação gradativa de aulas de língua espanhola no currículo do ensino médio e faculta sua inclusão nos currículos do ensino fundamental.A proposta determina ainda que, nas aulas de espanhol, seja utilizado material didático específico a ser ser fornecido, gratuitamente, pelos órgãos competentes.Apenas o Brasil fala o Português na AL e assim os brasileiros terão que aprender o espanhol para se integrar melhor quando da implantacão da URSAL (União das Repúblicas Socialistas da AL), integralizacão ampla e irrestrita da AL idealizada por Lula, Fidel e Chavez nos moldes da finada URSS. Em algumas geracões, o português será banido e o espanhol será declarado o idioma oficial da AL. Quer dizer, comecem a esquecer soberania, pátria, cultura, bandeira, hino, verde-amarelo porque tudo será vermelho.",http://orkut.google.com/c36242867.html,Brasil,14 de setembro de 2007,http://orkut.google.com/c36242867-te115d952bd2422d8.html,Déia . - ,Preparando para URSAL?,1
