dia_ultimo_comentario,link_comunidade,link_topico,nome_comunidade,qtde_respostas,texto_topico
9 de maio de 2006,c87091.html,http://orkut.google.com/c87091-t12e264ccf362cf64.html,Olavo de Carvalho nos odeia!,29 respostas.,Nacionalização: tática do FSP para chegar à URSAL
4 de março de 2009,c13213271.html,http://orkut.google.com/c13213271-t9ef9e73c5438d948.html,O Brasil precisa do V!,4 respostas.,Bem vindo a URSAL
18 de setembro de 2008,c64709849.html,http://orkut.google.com/c64709849-t75f9a46b2d4bd124.html,Aqui não!!!,7 respostas.,"URSAL - UNASUL, está em fase de implementação."
27 de julho de 2006,c13799006.html,http://orkut.google.com/c13799006-t795959e995089fea.html,AS "CHAVES" DO SEGREDO PETISTA,8 respostas.,A colheita final: URSAL em marcha
23 de janeiro de 2007,c43349.html,http://orkut.google.com/c43349-t81d222f4fa791594.html,Teoria da Conspiração,1 resposta.,Bem vindo a URSAL
19 de setembro de 2008,c69619.html,http://orkut.google.com/c69619-t79c4dfd7320973e1.html,Teoria da Conspiração,439 respostas.,URSAL A VERDADEIRA CONSPIRAÇÃO
22 de maio de 2008,c69619.html,http://orkut.google.com/c69619-t7b2c1a5395f5736e.html,Teoria da Conspiração,50 respostas.,NASCE A URSAL
24 de janeiro de 2007,c69619.html,http://orkut.google.com/c69619-tc1e70be3956af01e.html,Teoria da Conspiração,26 respostas.,Bem vindo a URSAL
27 de novembro de 2006,c70685.html,http://orkut.google.com/c70685-t3718ea815cd9548d.html,EU ODEIO O BUSH,4 respostas.,URSAL: O SONHO DE BOLIVAR
19 de julho de 2008,c73071.html,http://orkut.google.com/c73071-t3248c2381d56c8c4.html,FORA LULA,9 respostas.,URIBE ENTRA NO CONSELHO DE SEGURANÇA URSAL/UNASUL
28 de maio de 2008,c73071.html,http://orkut.google.com/c73071-te8cd199c41d86a7a.html,FORA LULA,6 respostas.,Ursal;o mal começa a tomar forma!!!
23 de maio de 2008,c73071.html,http://orkut.google.com/c73071-t18b33d87395f777e.html,FORA LULA,4 respostas.,UNASUL = URSAL
14 de abril de 2008,c73071.html,http://orkut.google.com/c73071-t3b68fd55da2ed65a.html,FORA LULA,3 respostas.,RUMO À URSAL VIA OTAS
14 de abril de 2008,c73071.html,http://orkut.google.com/c73071-t3b68fd55da2ed65a.html,FORA LULA,3 respostas.,RUMO À URSAL VIA OTAS
9 de abril de 2008,c73071.html,http://orkut.google.com/c73071-t4e8a8064dd362bc7.html,FORA LULA,3 respostas.,Unasul (URSAL) vai acontecer no Brasil
18 de março de 2008,c73071.html,http://orkut.google.com/c73071-t1d5e4b4bd2c134d7.html,FORA LULA,15 respostas.,A colheita final: URSAL em marcha
17 de dezembro de 2007,c73071.html,http://orkut.google.com/c73071-t6115d5bfc03a74f3.html,FORA LULA,6 respostas.,Cúpula dos Povos - América Latina - (URSAL?)
